word,meaning_short,meaning_raw,tsl rank
inspect,…を『検査する』,"…を『検査する』,念入りに調べる / (公式に)…を視察する",139
mechanic,『機械工』,"『機械工』,職工",140
merger,(特に二つ以上の会社・組織の)吸収合併,(特に二つ以上の会社・組織の)吸収合併,141
soccer,『サッカー』,『サッカー』,142
sweater,『セーター』,『セーター』,143
ingredient,(混合物の)成分,"(混合物の)成分,原料 / 構成要素",144
rewrite,…を『書き直す』 ,…を『書き直す』 / 《米》〈記者からの報告〉を新聞記事に書き直す / 書き直されたもの / 《米》(書き直された)記事,145
itinerary,旅程,"旅程,旅行日程 / 旅日記 / 旅行案内",146
workplace,職場,職場,147
architect,『建築家』,"『建築家』,建築技師 / (特に長期にわたる作業計画・事業などの)創始者,創案者,計画者",148
convenience,〈U〉『都合のよいこと』,"〈U〉『都合のよいこと』,便利,便宜・〈C〉『便利なもの』;好都合な事情;《複数形で》衣食住の便,便利な設備・《英》《文》=public convenience",149
eligible,適格な,"適格な,適任の,選ばれる資格のある / 有資格者,適格者",150
indoor,『室内の』,"『室内の』,『屋内の』",151
baggage,〈U〉《米》《集合的に》(旅行用)『手荷物』(《英》luggage) ,"〈U〉《米》《集合的に》(旅行用)『手荷物』(《英》luggage) / 〈U〉軍用行李(こうり) / 〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ,手荷物受取所『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所",152
dial,(時計の)『文字盤』;(各種計器類の)目盛り盤,"(時計の)『文字盤』;(各種計器類の)目盛り盤,指針盤 / (ラジオ・テレビの)『ダイヤル』 / (電話の)ダイヤル / 日時計(sundial) / 〈ラジオ・テレビ〉のダイヤルを回す;〈番組・波長〉にダイヤルを合わせる / 〈電話・番号〉のダイヤルを回す;〈人〉に電話をかける / (電話の)ダイヤルを回す",153
container,容器,"容器,入れ物(箱・かんなど);(貨物輸送用の)コンテナ",154
drawer,〈C〉『引き出し』 ,〈C〉『引き出し』 / 〈C〉引っ張る人 / 《複数形で》ズロース,155
lab,実験室(laboratory),実験室(laboratory),156
submission,服従,"服従,屈服,降伏 / 従順 / (考慮・決定を求めて書類などの)提出,提示《+of+名》",157
bulletin,『公報』;速報 ,"『公報』;速報 / (学会の)『会報』,紀要",158
certificate,『証明書』,"『証明書』,証書,証券 / 『免許証』,認許状,(学位を伴わない)修業証書",159
gym,〈C〉=gymnasium 1 ,〈C〉=gymnasium 1 / 〈U〉(学科目の)体操(gymnastics),160
